zinc_id,smiles
ZINC000030727788,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
ZINC000150377216,CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC
ZINC000100780125,CC(=O)O[C@H]1C[C@](C)(O)[C@@H]2CC=C(C)[C@@H]2[C@@H]2OC(=O)[C@H](C)[C@H]12
ZINC000006580536,O=C(O)[C@H](Cc1ccccc1)N(CCCl)CCCl
ZINC000150351802,O=C1C[C@H](c2ccc(O)c(O)c2)Oc2c1c(O)cc(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)c2[C@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1
ZINC000230052473,CC[C@@H]1[C@H](Cc2[nH]c(Cc3[nH]c(C[C@@H]4NC(=O)[C@@H](CC)[C@H]4C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC(=O)[C@H]1C
ZINC000085875971,O=C(O)/C=C/c1cc2ccoc2cc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000015206001,COc1ccc2c([nH]c3cc(O)c(C)cc32)c1C/C=C(\C)CCC=C(C)C
ZINC000150357141,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC
ZINC000150366233,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC
ZINC000014819293,CC(C)=CCc1cc([C@H]2CC(=O)c3c(O)cc(O)cc3O2)ccc1O
ZINC000006021105,C[C@H](C(=O)O)[C@@H](C)O
ZINC000144130632,C/C=C(/C)C(=O)O[C@@H]1C/C=C(/C)CCCC(C)(C)[C@@H](OC(C)=O)/C=C\1C
ZINC000034073349,COc1ccc2c(c1OC)-c1cc(ccc1O)/C=C\C(=O)O[C@H]1C[C@@H]3CCCC[C@H]3[C@H]2C1
ZINC000000895427,CC(=O)[C@@](C)(O)C(=O)O
ZINC000013542048,CC(=O)NCCC=O
ZINC000100784670,CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](O)COC(=O)CCCCCCCCCCCCCCCCC
